2025-04-27 23:14:14,5,#69bacf|#206107|#011001|#cdf5a4|#e2587d,1.0249531269073486,15056,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:15,5,#a12d14|#f29877|#bc5b86|#f9ee66|#0a01bd,0.6663360595703125,10387,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:15,5,#de1016|#44dc50|#fa3fb6|#fff6d9|#020714,0.027804851531982422,435,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:15,5,#32920c|#33ceb5|#3c30fd|#07005a|#e9fbcb,0.014645814895629883,221,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:16,5,#e5f9ee|#e10798|#6ac261|#6c8264|#200348,1.0236241817474365,15296,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:16,5,#4108a7|#ca97d6|#5c4c41|#aeff88|#179b3d,0.018784046173095703,254,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:18,5,#7e304b|#cfa667|#876fd6|#0a0d42|#e5f4c9,1.9634690284729004,30100,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:19,5,#b6b0c6|#908544|#930f23|#d52bdd|#f0fcab,1.0627987384796143,15377,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:23,5,#4956cc|#31d6d9|#1f0f8c|#89827f|#defce7,4.419206857681274,65525,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:24,5,#3d5397|#c2a4c2|#1a131a|#1991f8|#d6f7cc,0.9939417839050293,15283,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:25,5,#9ebf48|#1b8af5|#3d3673|#f7ff37|#04061c,0.39557504653930664,5779,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:29,5,#47c3fe|#2a0bb7|#3a89d9|#aa3673|#d2f5ed,4.294922113418579,65028,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:30,5,#32e860|#933fa3|#330834|#44a13a|#f0fde7,1.347057819366455,19916,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:32,5,#24d0bb|#70312c|#f3473c|#e7f886|#1f002a,1.4235491752624512,20247,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:34,5,#9cc305|#6a8f08|#c522a9|#030658|#f8fbd7,2.3811728954315186,35178,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:35,5,#01eb52|#627166|#12091f|#e7fac9|#523f22,1.4310078620910645,20115,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:37,5,#94f9e1|#3a8f43|#443ec2|#89b096|#051968,1.3849101066589355,20237,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:38,5,#b4b5a4|#446512|#670a33|#ee53eb|#e8fcee,0.9767680168151855,15178,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:42,5,#fbf8f0|#274a03|#b9a5b0|#f73df4|#11002f,4.024980068206787,60332,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:43,5,#c7af5c|#5e4578|#eefed7|#5c0717|#328bbd,1.4104101657867432,20070,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:44,5,#74c0c7|#ee4a8c|#130d9c|#eafadf|#724016,0.391599178314209,5742,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:45,5,#92c0a4|#994108|#eb663a|#000c33|#fafc8e,1.120919942855835,15767,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:45,5,#d87d76|#4a3754|#ebf319|#16001d|#5b68a2,0.3378331661224365,5329,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:45,5,#cdb57c|#bd752f|#5b424a|#191901|#f7fce2,0.06908822059631348,981,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:46,5,#8aad3a|#5b4638|#c0ecf3|#1a07d6|#c25c6f,0.6854541301727295,10216,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:46,5,#0d8a90|#89f66a|#0e4f36|#d68e78|#040578,0.015579938888549805,230,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:46,5,#e38383|#d41169|#b9eeec|#9654f7|#010921,0.37479305267333984,5352,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:47,5,#9455c2|#a5194d|#34e19c|#1a0103|#fef9f5,0.33192896842956543,4657,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:52,5,#d4cffc|#406cc0|#742c42|#34ac8c|#08081d,5.381453037261963,75186,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:14:57,5,#37da59|#368e4b|#4f37c8|#0e131a|#effad4,4.816687822341919,65588,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:00,5,#46e427|#743066|#b16fb7|#fcf7e7|#05080c,3.256887912750244,45645,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:00,5,#adf3dc|#0b5d72|#bb55fb|#04185b|#9ead67,0.04591012001037598,644,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:02,5,#ea4d68|#275106|#fb7ed2|#c2f98c|#0a008d,1.4206411838531494,20172,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:05,5,#36c023|#452bb2|#1a8425|#5ff4f6|#000103,3.165286064147949,47166,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:07,5,#e5b90e|#525781|#ad7c4d|#071f31|#f1f9f7,2.588411808013916,35162,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:11,5,#ce1b14|#09d98e|#4978f4|#bbff3e|#0302ab,4.068014144897461,60446,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:13,5,#67530f|#1ae91f|#339b23|#12262d|#d2fef2,2.126309871673584,30040,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:15,5,#862c21|#fba730|#448ea0|#040113|#b9fffd,1.0964200496673584,15034,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:15,5,#0188d8|#7c3094|#aeb210|#51070b|#fffc13,0.37514805793762207,5065,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:16,5,#f9e0d8|#16bad8|#ac1653|#6a7102|#000038,0.5855879783630371,8324,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:21,5,#ae3223|#89c10a|#fef3de|#060097|#0a9e6a,5.45604681968689,80091,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:21,5,#493486|#f5474d|#9ceb70|#cc7ec9|#120444,0.03806805610656738,527,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:24,5,#464f38|#6fcb46|#260108|#7f7a4d|#cfffa7,2.7246968746185303,40130,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:25,5,#1bc9fb|#bc556b|#093cf2|#f5f1a8|#0f072a,1.4996819496154785,21332,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:25,5,#673219|#23de17|#646a9d|#ceeafd|#0a031a,0.02390003204345703,341,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:28,5,#542fb3|#38c3be|#f04a47|#faf597|#0f0915,3.054774045944214,45321,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:28,5,#95d43a|#ec2170|#926de4|#800245|#fbfefc,0.145186185836792,2279,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:34,5,#354025|#30e73a|#c360fe|#f6ffcd|#0e0037,5.7080910205841064,85675,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:35,5,#942413|#51b434|#fbf2f3|#a04bfe|#060702,0.6253418922424316,9351,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:37,5,#1041dc|#21bc64|#e1cde9|#040b83|#2a835f,2.4708447456359863,36477,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:37,5,#c853ed|#23e105|#d11665|#cafadb|#0f026e,0.011210918426513672,170,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:39,5,#0c53f1|#acc840|#328d8c|#041546|#f5fdf2,1.704254150390625,26248,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:40,5,#8d2781|#bdf26d|#9f6c01|#6aa998|#150148,1.0549125671386719,15040,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:41,5,#a7194a|#b4a0ff|#42952f|#f2fed5|#01030a,1.1680970191955566,18121,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:43,5,#89021a|#bf6783|#e9a90c|#5e439f|#befeb7,1.6984341144561768,25067,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:43,5,#2850d3|#d2bd2d|#0b1d5b|#e6588f|#fdfff4,0.0496211051940918,781,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
2025-04-27 23:15:49,5,#c58e58|#d20f62|#aeeb65|#8e57cf|#170032,5.713097810745239,85661,normal:10.0|protanopia:15.0|deuteranopia:15.0|tritanopia:15.0|grey scale:15.0
